Designator,Mid X,Mid Y,Layer,Rotation,Type
C1,20.32,74.93,Top,180.0,SMD
C2,45.09,62.23,Top,0.0,SMD
C3,41.27,57.15,Top,90.0,SMD
C4,39.37,52.39,Top,0.0,SMD
C5,20.00,50.16,Top,270.0,SMD
C6,39.37,50.16,Top,0.0,SMD
C7,13.97,44.45,Top,0.0,SMD
C8,54.61,43.50,Top,180.0,SMD
C9,21.59,41.91,Top,0.0,SMD
C10,34.29,41.91,Top,0.0,SMD
C11,48.58,41.91,Top,0.0,SMD
C12,34.29,39.37,Top,180.0,SMD
C13,48.90,39.37,Top,0.0,SMD
C14,54.93,37.78,Top,180.0,SMD
C15, 5.08,37.15,Top,180.0,SMD
C16,13.97,36.83,Top,180.0,SMD
C17,27.94,36.83,Top,180.0,SMD
C18,34.29,34.29,Top,180.0,SMD
C19,13.97,31.75,Top,180.0,SMD
C20,20.64,31.75,Top,0.0,SMD
C21,27.94,31.75,Top,0.0,SMD
C22,42.23,31.75,Top,0.0,SMD
C23,48.90,31.75,Top,0.0,SMD
C24,17.78,29.21,Top,0.0,SMD
C25,24.13,29.21,Top,0.0,SMD
C26,40.64,29.21,Top,0.0,SMD
C27,54.29,29.21,Top,0.0,SMD
C28, 5.08,24.13,Top,180.0,SMD
C29,38.10,17.78,Top,270.0,SMD
C30,53.98,17.78,Top,90.0,SMD
C31, 1.91,15.24,Top,270.0,SMD
C32,15.24,13.97,Top,270.0,SMD
C33,18.41, 5.08,Top,270.0,SMD
D1, 7.62, 8.57,Top,0.0,SMD
D2,15.56, 5.08,Top,0.0,SMD
FS, 5.08, 3.81,Top,0.0,THT
H1,54.93,11.43,Top,270.0,THT
I2C, 6.67,61.91,Top,0.0,THT
IC1,19.37,68.90,Top,180.0,SMD
IC2,40.32,68.26,Top,180.0,SMD
IC3,29.21,54.61,Top,90.0,SMD
IC4,20.64,36.20,Top,90.0,SMD
IC5,42.23,36.20,Top,90.0,SMD
IC6,21.59,13.97,Top,0.0,SMD
JP1,30.48, 3.81,Top,0.0,THT
LED1,31.75,11.75,Top,0.0,THT
POT0,50.80,74.93,Top,0.0,THT
POT1,29.85,74.93,Top,0.0,THT
POT2, 8.89,74.93,Top,0.0,THT
PWR, 5.40,46.67,Top,0.0,THT
Q1,39.37,22.54,Top,180.0,SMD
Q2,51.44,22.54,Top,180.0,SMD
R1,39.37,76.20,Top,90.0,SMD
R2,42.86,76.20,Top,90.0,SMD
R3,20.00,60.01,Top,90.0,SMD
R4,55.88,58.42,Top,90.0,SMD
R5,20.00,54.61,Top,270.0,SMD
R6,55.88,50.80,Top,90.0,SMD
R7,39.37,48.26,Top,0.0,SMD
R8,39.37,45.72,Top,0.0,SMD
R9,13.97,41.91,Top,0.0,SMD
R10,27.94,41.91,Top,0.0,SMD
R11,54.93,40.32,Top,0.0,SMD
R12, 5.08,39.37,Top,0.0,SMD
R13,13.97,39.37,Top,0.0,SMD
R14,27.94,39.37,Top,180.0,SMD
R15,34.29,36.83,Top,180.0,SMD
R16,48.90,36.83,Top,180.0,SMD
R17,54.61,35.24,Top,180.0,SMD
R18, 5.08,34.29,Top,0.0,SMD
R19,13.97,34.29,Top,0.0,SMD
R20,27.94,34.29,Top,0.0,SMD
R21,48.90,34.29,Top,180.0,SMD
R22,34.29,31.75,Top,0.0,SMD
R23,34.29,29.21,Top,0.0,SMD
R24,48.90,29.21,Top,180.0,SMD
R25,40.64,26.99,Top,180.0,SMD
R26,54.29,26.99,Top,180.0,SMD
R27,17.78,26.35,Top,0.0,SMD
R28,24.13,26.35,Top,0.0,SMD
R29,17.78,24.13,Top,180.0,SMD
R30,24.13,24.13,Top,180.0,SMD
R31,30.80,17.78,Top,270.0,SMD
R32,33.97,17.78,Top,90.0,SMD
R33,40.64,17.78,Top,90.0,SMD
R34,43.18,17.78,Top,90.0,SMD
R35,45.72,17.78,Top,270.0,SMD
R36,49.53,17.78,Top,270.0,SMD
R37,51.75,17.78,Top,270.0,SMD
R38,56.52,17.78,Top,90.0,SMD
R39,10.16, 5.08,Top,90.0,SMD
R40,12.70, 5.08,Top,270.0,SMD
SW1,46.99, 7.30,Top,0.0,SMD
SW100,50.80,54.29,Bottom,180.0,THT
SW101, 8.89,54.29,Bottom,180.0,THT
TC1,16.19,58.10,Top,270.0,SMD
VR1, 7.30,14.29,Top,0.0,SMD
X2,38.42,57.15,Top,270.0,SMD
